cap-shape,Cap surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,category
Convex,Smooth,n,Bruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,Poisonous
Convex,Smooth,y,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Bell,Smooth,w,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,w,Bruises,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,Poisonous
Convex,Smooth,g,NoBruises,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Scaly,y,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Bell,Smooth,w,Bruises,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Bell,Scaly,w,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Scaly,w,Bruises,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,Poisonous
Bell,Smooth,y,Bruises,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Convex,Scaly,y,Bruises,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,y,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Bell,Smooth,y,Bruises,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,w,Bruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Convex,Fiberous,n,NoBruises,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,Edible
Sunken,Fiberous,g,NoBruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,Edible
Flat,Fiberous,w,NoBruises,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Convex,Smooth,n,Bruises,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,Poisonous
Convex,Scaly,w,Bruises,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
Convex,Smooth,n,Bruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
Bell,Smooth,y,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Scaly,n,Bruises,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Bell,Scaly,y,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Bell,Scaly,w,Bruises,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Bell,Smooth,w,Bruises,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Flat,Smooth,w,Bruises,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Convex,Scaly,y,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,w,Bruises,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Flat,Fiberous,n,NoBruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,Edible
Convex,Smooth,y,Bruises,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Bell,Smooth,y,Bruises,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,w,Bruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
Convex,Scaly,y,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,n,Bruises,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,Edible
Bell,Scaly,y,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Convex,Fiberous,y,Bruises,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Sunken,Fiberous,g,NoBruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,Edible
Convex,Scaly,n,Bruises,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,Poisonous
Convex,Fiberous,y,Bruises,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,Edible
Bell,Smooth,y,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Bell,Scaly,y,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Convex,Scaly,y,Bruises,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Convex,Fiberous,n,NoBruises,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,Edible
Convex,Scaly,w,Bruises,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,Poisonous
Convex,Smooth,y,Bruises,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,Edible
Convex,Scaly,w,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Scaly,y,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Convex,Smooth,w,Bruises,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,y,Bruises,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,Edible
Flat,Scaly,y,Bruises,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,Edible
Convex,Scaly,n,Bruises,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,Edible
Convex,Smooth,w,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,Edible
Bell,Smooth,w,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Convex,Scaly,n,Bruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Poisonous
Convex,Smooth,w,Bruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,Poisonous
Bell,Scaly,y,Bruises,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,Edible
Flat,Fiberous,g,NoBruises,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,Edible
Bell,Smooth,w,Bruises,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,Edible
Convex,Smooth,y,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,Edible
Convex,Scaly,n,Bruises,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,Edible
Sunken,Fiberous,g,NoBruises,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,Edible
Bell,Scaly,y,Bruises,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Bell,Smooth,y,Bruises,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,Edible
Bell,Scaly,y,Bruises,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,Edible
Bell,Scaly,w,Bruises,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,Edible
Flat,Smooth,n,NoBruises,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,Edible
